Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Sum (Tagalog + Ilocano),"Ratio, Ilocano-Tagalog",Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
10001,Avalon,Newfoundland and Labrador,"81,781",5,6.113889534,45,55.02500581,50,0.111111111,0,0,45,55.02500581,25,30.56944767,15,18.3416686,45,55.02500581,30,36.68333721
10002,Cape Spear,Newfoundland and Labrador,"85,038",5,5.879724359,220,258.7078718,225,0.022727273,5,5.879724359,155,182.2714551,130,152.8728333,60,70.5566923,145,170.5120064,345,405.7009807
10003,Central Newfoundland,Newfoundland and Labrador,"74,122",5,6.745635574,75,101.1845336,80,0.066666667,5,6.745635574,5,6.745635574,75,101.1845336,35,47.21944902,25,33.72817787,100,134.9127115
10004,Labrador,Newfoundland and Labrador,"26,655",15,56.27462015,385,1444.381917,400,0.038961039,10,37.51641343,5,18.75820672,65,243.8566873,5,18.75820672,25,93.79103358,35,131.307447
10005,Long Range Mountains,Newfoundland and Labrador,"81,795",0,0,115,140.5953909,115,0,10,12.22568617,25,30.56421542,75,91.69264625,25,30.56421542,40,48.90274467,50,61.12843083
10006,St. John's East,Newfoundland and Labrador,"85,038",10,11.75944872,290,341.0240128,300,0.034482759,20,23.51889743,590,693.8074743,215,252.8281474,165,194.0309038,320,376.3023589,960,1128.907077
10007,Terra Nova—The Peninsulas,Newfoundland and Labrador,"76,121",5,6.568489641,50,65.68489641,55,0.1,0,0,5,6.568489641,45,59.11640677,5,6.568489641,40,52.54791713,40,52.54791713
11001,Cardigan,Prince Edward Island,"39,236",0,0,50,127.4339892,50,0,0,0,"1,615",4116.117851,140,356.8151697,75,191.1509838,90,229.3811805,95,242.1245795
11002,Charlottetown,Prince Edward Island,"38,809",10,25.76721894,220,566.8788168,230,0.045454545,15,38.65082842,"1,400",3607.410652,775,1996.959468,170,438.042722,265,682.831302,655,1687.752841
11003,Egmont,Prince Edward Island,"37,751",10,26.48936452,705,1867.500199,715,0.014184397,20,52.97872904,50,132.4468226,325,860.9043469,90,238.4042807,65,172.1808694,35,92.71277582
11004,Malpeque,Prince Edward Island,"38,535",5,12.97521733,190,493.0582587,195,0.026315789,5,12.97521733,175,454.1326067,145,376.2813027,20,51.90086934,130,337.3556507,40,103.8017387
12001,Acadie—Annapolis,Nova Scotia,"76,252",0,0,90,118.029691,90,0,0,0,50,65.57205057,80,104.9152809,45,59.01484551,130,170.4873315,80,104.9152809
12002,Cape Breton—Canso—Antigonish,Nova Scotia,"75,141",0,0,160,212.9330193,160,0,15,19.96247056,65,86.50403907,110,146.3914507,15,19.96247056,100,133.083137,155,206.2788624
12003,Central Nova,Nova Scotia,"76,210",0,0,155,203.3853825,155,0,5,6.56081879,35,45.92573153,40,52.48655032,25,32.80409395,100,131.2163758,130,170.5812885
12004,Cumberland—Colchester,Nova Scotia,"82,014",10,12.19304021,165,201.1851635,175,0.060606061,20,24.38608043,85,103.6408418,270,329.2120857,50,60.96520106,110,134.1234423,140,170.702563
12005,Dartmouth—Cole Harbour,Nova Scotia,"104,825",15,14.30956356,655,624.850942,670,0.022900763,50,47.69854519,290,276.6515621,"1,055",1006.439304,175,166.9449082,370,352.9692344,675,643.9303601
12006,Halifax,Nova Scotia,"98,855",15,15.17373932,505,510.8492236,520,0.02970297,40,40.46330484,"2,485",2513.782813,"1,035",1046.988013,275,278.1852208,690,697.9920085,"1,770",1790.501239
12007,Halifax West,Nova Scotia,"99,228",25,25.19450155,815,821.3407506,840,0.030674847,60,60.46680372,"2,080",2096.182529,865,871.7297537,295,297.2951183,565,569.3957351,"3,090",3114.040392
12008,Kings—Hants,Nova Scotia,"95,063",10,10.51933981,230,241.9448155,240,0.043478261,10,10.51933981,130,136.7514175,155,163.049767,30,31.55801942,140,147.2707573,170,178.8287767
12009,Sackville—Bedford—Preston,Nova Scotia,"100,416",15,14.93785851,210,209.1300191,225,0.071428571,15,14.93785851,"1,090",1085.484385,205,204.150733,265,263.902167,320,318.6743149,"1,545",1538.599426
12010,South Shore—St. Margarets,Nova Scotia,"79,130",0,0,85,107.4181726,85,0,5,6.318716037,50,63.18716037,95,120.0556047,25,31.59358018,95,120.0556047,120,151.6491849
12011,Sydney—Glace Bay,Nova Scotia,"82,219",0,0,165,200.6835403,165,0,5,6.081319403,370,450.0176358,640,778.4088836,35,42.56923582,50,60.81319403,80,97.30111045
13001,Acadie—Bathurst,New Brunswick,"79,581",0,0,70,87.96069414,70,0,10,12.56581345,10,12.56581345,30,37.69744034,25,31.41453362,60,75.39488069,80,100.5265076
13002,Beauséjour,New Brunswick,"88,591",25,28.21957084,550,620.8305584,575,0.045454545,40,45.15131334,80,90.30262668,115,129.8100258,20,22.57565667,350,395.0739917,175,197.5369959
13003,Fredericton—Oromocto,New Brunswick,"85,389",5,5.855555165,315,368.8999754,320,0.015873016,50,58.55555165,795,931.0332713,260,304.4888686,110,128.8222136,475,556.2777407,"1,355",1586.85545
13004,Fundy Royal,New Brunswick,"73,554",5,6.79772684,90,122.3590831,95,0.055555556,5,6.79772684,60,81.57272208,125,169.943171,10,13.59545368,110,149.5499905,125,169.943171
13005,Madawaska—Restigouche,New Brunswick,"70,597",0,0,55,77.90699322,55,0,0,0,20,28.32981571,95,134.5666246,25,35.41226964,70,99.154355,125,177.0613482
13006,Miramichi—Grand Lake,New Brunswick,"59,725",0,0,150,251.1511093,150,0,5,8.371703642,20,33.48681457,60,100.4604437,15,25.11511093,110,184.1774801,50,83.71703642
13007,Moncton—Dieppe,New Brunswick,"91,961",10,10.87417492,630,685.0730201,640,0.015873016,60,65.24504953,475,516.5233088,640,695.947195,120,130.4900991,490,532.8345712,"1,290",1402.768565
13008,Saint John—Kennebecasis,New Brunswick,"81,932",10,12.20524337,360,439.3887614,370,0.027777778,35,42.7183518,765,933.701118,235,286.8232193,95,115.949812,300,366.1573012,980,1196.113851
13009,Saint John—St. Croix,New Brunswick,"80,192",10,12.47007183,250,311.7517957,260,0.04,10,12.47007183,60,74.82043097,65,81.05546688,45,56.11532322,120,149.6408619,90,112.2306464
13010,Tobique—Mactaquac,New Brunswick,"64,088",5,7.801772563,130,202.8460866,135,0.038461538,5,7.801772563,45,70.21595306,135,210.6478592,5,7.801772563,125,195.0443141,70,109.2248159
24001,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,"89,087",0,0,110,123.4748055,110,0,0,0,10,11.22498232,0,0,15,16.83747348,165,185.2122083,225,252.5621022
24002,Abitibi—Témiscamingue,Quebec,"103,735",0,0,75,72.29960958,75,0,10,9.639947944,20,19.27989589,0,0,10,9.639947944,260,250.6386466,285,274.7385164
24003,Ahuntsic-Cartierville,Quebec,"111,511",10,8.967725157,155,138.9997399,165,0.064516129,15,13.45158774,540,484.2571585,910,816.0629893,650,582.9021352,"4,165",3735.057528,"11,365",10191.81964
24004,Alfred-Pellan,Quebec,"113,173",10,8.836029795,75,66.27022346,85,0.133333333,5,4.418014898,310,273.9169236,50,44.18014898,170,150.2125065,"4,825",4263.384376,"5,665",5005.610879
24005,Argenteuil—La Petite-Nation,Quebec,"108,903",0,0,35,32.13869223,35,0,0,0,55,50.50365922,10,9.182483494,10,9.182483494,375,344.343131,230,211.1971204
24006,Beauce,Quebec,"111,034",0,0,70,63.04375236,70,0,0,0,20,18.01250068,0,0,0,0,925,833.0781562,200,180.1250068
24007,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,"118,474",0,0,55,46.4236879,55,0,0,0,50,42.20335263,75,63.30502895,40,33.76268211,730,616.1689485,310,261.6607863
24008,Beauport—Limoilou,Quebec,"113,598",0,0,30,26.40891565,30,0,0,0,95,83.62823289,0,0,35,30.81040159,"1,370",1206.007148,900,792.2674695
24009,Bécancour—Nicolet—Saurel—Alnôbak,Quebec,"96,439",0,0,30,31.10774687,30,0,5,5.184624478,40,41.47699582,0,0,10,10.36924896,420,435.5084561,170,176.2772322
24010,Bellechasse—Les Etchemins—Lévis,Quebec,"111,737",0,0,50,44.74793488,50,0,5,4.474793488,55,49.22272837,5,4.474793488,10,8.949586977,670,599.6223274,470,420.6305879
24011,Beloeil—Chambly,Quebec,"114,551",0,0,10,8.7297361,10,0,5,4.36486805,180,157.1352498,5,4.36486805,60,52.3784166,"1,225",1069.392672,610,532.5139021
24012,Berthier—Maskinongé,Quebec,"108,640",0,0,80,73.6377025,80,0,0,0,35,32.21649485,0,0,5,4.602356406,505,464.8379971,145,133.4683358
24013,Bourassa,Quebec,"105,637",0,0,55,52.06509083,55,0,5,4.733190075,175,165.6616526,105,99.39699158,260,246.1258839,"7,560",7156.583394,"7,885",7464.240749
24014,Brome—Missisquoi,Quebec,"113,913",0,0,40,35.11451722,40,0,5,4.389314652,90,79.00766374,0,0,5,4.389314652,555,487.2139264,115,100.954237
24015,Brossard—Saint-Lambert,Quebec,"114,286",15,13.12496719,365,319.3742016,380,0.04109589,20,17.49995625,"6,650",5818.735453,360,314.9992125,"4,840",4234.989413,"5,870",5136.237159,"5,195",4545.613636
24016,Charlesbourg—Haute-Saint-Charles,Quebec,"113,308",0,0,25,22.06375543,25,0,0,0,70,61.7785152,0,0,75,66.19126628,1115,984.0434921,790,697.2146715
24017,Châteauguay—Les Jardins-de-Napierville,Quebec,"114,947",20,17.39932317,160,139.1945853,180,0.125,10,8.699661583,300,260.9898475,105,91.34644662,55,47.84813871,"2,250",1957.423856,"1,135",987.4115897
24018,Chicoutimi—Le Fjord,Quebec,"92,460",0,0,10,10.81548778,10,0,0,0,45,48.669695,0,0,5,5.407743889,245,264.9794506,260,281.2026822
24019,Compton—Stanstead,Quebec,"113,282",0,0,25,22.06881941,25,0,5,4.413763881,170,150.067972,5,4.413763881,25,22.06881941,"1,055",931.304179,310,273.6533606
24020,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,"116,216",0,0,45,38.72100227,45,0,5,4.302333586,35,30.1163351,0,0,5,4.302333586,320,275.3493495,150,129.0700076
24021,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,"88,525",0,0,40,45.184976,40,0,0,0,15,16.944366,0,0,10,11.296244,180,203.332392,145,163.795538
24022,Dorval—Lachine—LaSalle,Quebec,"114,661",105,91.57429292,840,732.5943433,945,0.125,25,21.80340308,"3,985",3475.46245,"3,925",3423.134283,"1,085",946.2676935,"3,840",3349.002712,"2,565",2237.029156
24023,Drummond,Quebec,"107,967",0,0,50,46.31044671,50,0,0,0,110,101.8829828,0,0,15,13.89313401,"1,225",1134.605944,720,666.8704326
24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,"110,225",0,0,30,27.21705602,30,0,5,4.536176004,20,18.14470401,5,4.536176004,0,0,160,145.1576321,80,72.57881606
24025,Gatineau,Quebec,"109,624",0,0,115,104.9040356,115,0,10,9.122090053,285,259.9795665,25,22.80522513,55,50.17149529,"1,810",1651.0983,"2,905",2649.96716
24026,Hochelaga—Rosemont-Est,Quebec,"110,039",5,4.543843546,85,77.24534029,90,0.058823529,0,0,960,872.4179609,100,90.87687093,565,513.4543207,"4,985",4530.212016,"4,505",4094.003035
24027,Honoré-Mercier,Quebec,"105,434",0,0,40,37.93842593,40,0,0,0,295,279.7958913,130,123.2998843,400,379.3842593,"5,230",4960.449191,"5,250",4979.418404
24028,Hull—Aylmer,Quebec,"105,559",10,9.473375079,280,265.2545022,290,0.035714286,70,66.31362556,"1,060",1004.177758,115,108.9438134,170,161.0473763,"2,505",2373.080457,"3,215",3045.690088
24029,Joliette—Manawan,Quebec,"104,882",0,0,40,38.13809805,40,0,0,0,25,23.83631128,5,4.767262257,20,19.06904903,735,700.7875517,335,319.4065712
24030,Jonquière,Quebec,"91,061",0,0,10,10.98164966,10,0,5,5.490824832,20,21.96329933,0,0,5,5.490824832,170,186.6880443,70,76.87154764
24031,La Pointe-de-l'Île,Quebec,"110,486",5,4.525460239,35,31.67822168,40,0.142857143,0,0,550,497.8006263,30,27.15276144,420,380.1386601,"4,620",4181.525261,"2,655",2403.019387
24032,La Prairie—Atateken,Quebec,"114,968",5,4.349036254,90,78.28265256,95,0.055555556,5,4.349036254,"1,810",1574.351124,160,139.1691601,520,452.2997704,"3,295",2866.014891,"1,575",1369.94642
24033,Lac-Saint-Jean,Quebec,"92,031",0,0,5,5.43295194,5,0,0,0,5,5.43295194,0,0,5,5.43295194,140,152.1226543,35,38.03066358
24034,Lac-Saint-Louis,Quebec,"110,093",100,90.83229633,830,753.9080595,930,0.120481928,20,18.16645927,"5,305",4818.65332,690,626.7428447,860,781.1577484,"2,530",2298.057097,"3,675",3338.08689
24035,LaSalle—Émard—Verdun,Quebec,"112,298",30,26.71463428,305,271.5987818,335,0.098360656,20,17.80975618,"2,825",2515.628061,980,872.678053,835,743.5573207,"4,395",3913.693922,"2,035",1812.142692
24036,Laurentides—Labelle,Quebec,"92,897",0,0,20,21.52922053,20,0,0,0,50,53.82305134,0,0,20,21.52922053,420,452.1136312,100,107.6461027
24037,Laurier—Sainte-Marie,Quebec,"115,704",0,0,120,103.7129226,120,0,15,12.96411533,"1,870",1616.193044,180,155.5693839,"1,255",1084.664316,"4,930",4260.872571,"3,245",2804.570283
24038,Laval—Les Îles,Quebec,"111,784",20,17.89164818,290,259.4288986,310,0.068965517,5,4.472912045,640,572.5327417,"1,255",1122.700923,335,299.685107,"2,805",2509.303657,"10,115",9048.701066
24039,Les Pays-d'en-Haut,Quebec,"106,834",5,4.680158002,25,23.40079001,30,0.2,5,4.680158002,70,65.52221203,0,0,10,9.360316004,600,561.6189603,210,196.5666361
24040,Lévis—Lotbinière,Quebec,"112,830",0,0,25,22.15722769,25,0,0,0,75,66.47168306,0,0,10,8.862891075,555,491.8904547,375,332.3584153
24041,Longueuil—Charles-LeMoyne,Quebec,"112,257",25,22.27032613,155,138.076022,180,0.161290323,5,4.454065225,"1,100",979.8943496,95,84.62723928,615,547.8500227,"5,375",4788.120117,"3,580",3189.110701
24042,Longueuil—Saint-Hubert,Quebec,"115,082",0,0,95,82.54983403,95,0,15,13.03418432,605,525.7121009,45,39.10255296,275,238.9600459,"4,845",4210.041536,"3,010",2615.52632
24043,Louis-Hébert,Quebec,"106,117",0,0,30,28.27068236,30,0,5,4.711780393,400,376.9424315,0,0,65,61.25314511,"2,340",2205.113224,"3,380",3185.163546
24044,Louis-Saint-Laurent—Akiawenhrahk,Quebec,"113,220",0,0,15,13.24854266,15,0,0,0,105,92.73979862,0,0,30,26.49708532,"1,120",989.2245186,740,653.5947712
24045,Marc-Aurèle-Fortin,Quebec,"104,636",10,9.55694025,120,114.683283,130,0.083333333,0,0,335,320.1574984,260,248.4804465,205,195.9172751,"3,190",3048.66394,"7,395",7067.357315
24046,Mégantic—L'Érable—Lotbinière,Quebec,"103,114",0,0,60,58.1880249,60,0,0,0,25,24.24501038,0,0,5,4.849002075,715,693.4072968,245,237.6011017
24047,Mirabel,Quebec,"100,598",5,4.970277739,35,34.79194417,40,0.142857143,5,4.970277739,90,89.4649993,45,44.73249965,25,24.8513887,"1,125",1118.312491,"1,000",994.0555478
24048,Mount Royal,Quebec,"112,706",980,869.5189253,5545,4919.880042,6525,0.176735798,340,301.6698312,"2,770",2457.72186,770,683.1934413,680,603.3396625,"3,100",2750.51905,"4,200",3726.50968
24049,Mont-Saint-Bruno—L'Acadie,Quebec,"111,323",0,0,45,40.4229135,45,0,5,4.491434834,490,440.1606137,55,49.40578317,175,157.2002192,"2,340",2101.991502,"1,460",1311.498971
24050,Montcalm,Quebec,"111,954",0,0,30,26.79672008,30,0,5,4.466120014,60,53.59344016,5,4.466120014,15,13.39836004,"1,180",1054.004323,470,419.8152813
24051,Montmorency—Charlevoix,Quebec,"101,119",0,0,0,0,0,#DIV/0!,5,4.944669152,45,44.50202237,0,0,5,4.944669152,350,346.1268407,190,187.8974278
24052,Notre-Dame-de-Grâce—Westmount,Quebec,"111,377",140,125.6992018,1015,911.3192131,1155,0.137931035,70,62.84960091,"3,095",2778.850211,420,377.0976054,655,588.0926942,"3,860",3465.706564,"3,195",2868.635356
24053,Outremont,Quebec,"115,051",160,139.0687608,1210,1051.707504,1370,0.132231405,130,112.9933682,910,790.9535771,555,482.3947641,400,347.671902,"4,260",3702.705757,"5,170",4493.659334
24054,Papineau,Quebec,"110,813",20,18.04842392,120,108.2905435,140,0.166666667,15,13.53631794,535,482.7953399,"5,330",4809.904975,"1,005",906.933302,"6,650",6001.100954,"5,280",4764.783915
24055,Pierre-Boucher—Les Patriotes—Verchères,Quebec,"103,020",0,0,25,24.2671326,25,0,0,0,235,228.1110464,0,0,45,43.68083867,"1,245",1208.503203,665,645.505727
24056,Pierrefonds—Dollard,Quebec,"109,497",190,173.5207357,1745,1593.650968,1935,0.108882522,50,45.66335151,"1,940",1771.738038,"1,965",1794.569714,630,575.358229,"2,795",2552.581349,"7,095",6479.629579
24057,Pontiac—Kitigan Zibi,Quebec,"111,138",0,0,125,112.4727816,125,0,5,4.498911263,400,359.9129011,25,22.49455632,80,71.98258022,"1,490",1340.675557,"1,735",1561.122208
24058,Portneuf—Jacques-Cartier,Quebec,"106,611",0,0,15,14.0698427,15,0,0,0,20,18.75979027,0,0,10,9.379895133,425,398.6455431,205,192.2878502
24059,Québec Centre,Quebec,"103,977",0,0,70,67.32258096,70,0,5,4.808755783,175,168.3064524,0,0,45,43.27880204,"1,985",1909.076046,"1,120",1077.161295
24060,Repentigny,Quebec,"111,373",0,0,10,8.978836881,10,0,5,4.489418441,85,76.32011349,5,4.489418441,25,22.4470922,"2,205",1979.833532,"1,875",1683.531915
24061,Richmond—Arthabaska,Quebec,"110,651",0,0,45,40.66840788,45,0,0,0,30,27.11227192,0,0,15,13.55613596,855,772.6997497,345,311.7911271
24062,Rimouski—La Matapédia,Quebec,"102,019",0,0,0,0,0,#DIV/0!,0,0,25,24.50523922,0,0,15,14.70314353,195,191.1408659,140,137.2293396
24063,Rivière-des-Mille-Îles,Quebec,"104,960",5,4.763719512,65,61.92835366,70,0.076923077,5,4.763719512,235,223.8948171,60,57.16463415,45,42.87347561,"1,925",1834.032012,"2,145",2043.635671
24064,Rivière-du-Nord,Quebec,"113,514",0,0,20,17.61897211,20,0,5,4.404743027,65,57.26165935,0,0,20,17.61897211,"1,335",1176.066388,600,528.5691633
24065,Rosemont—La Petite-Patrie,Quebec,"112,909",0,0,50,44.2834495,50,0,5,4.42834495,645,571.2564986,100,88.56689901,415,367.5526309,"5,005",4432.773295,"2,800",2479.873172
24066,Saint-Hyacinthe—Bagot—Acton,Quebec,"105,086",0,0,10,9.516015454,10,0,5,4.758007727,60,57.09609272,0,0,10,9.516015454,"2,070",1969.815199,575,547.1708886
24067,Saint-Jean,Quebec,"114,617",0,0,35,30.53648237,35,0,5,4.362354625,75,65.43531937,0,0,30,26.17412775,805,702.3390945,485,423.1483986
24068,Saint-Laurent,Quebec,"108,763",145,133.3173965,925,850.4730469,1070,0.156756757,40,36.77721284,"3,765",3461.655158,"1,285",1181.467962,"3,035",2790.471024,"3,460",3181.228911,"17,310",15915.33886
24069,Saint-Léonard—Saint-Michel,Quebec,"112,922",5,4.427835143,60,53.13402171,65,0.083333333,0,0,410,363.0824817,125,110.6958786,860,761.5876446,"8,955",7930.252741,"12,635",11189.13941
24070,Saint-Maurice—Champlain,Quebec,"111,997",0,0,10,8.928810593,10,0,5,4.464405297,45,40.17964767,0,0,5,4.464405297,395,352.6880184,200,178.5762119
24071,Shefford,Quebec,"115,924",0,0,55,47.44487768,55,0,0,0,50,43.13170698,0,0,25,21.56585349,"1,395",1203.374625,450,388.1853628
24072,Sherbrooke,Quebec,"116,844",5,4.279209887,85,72.74656807,90,0.058823529,0,0,210,179.7268152,60,51.35051864,45,38.51288898,"2,600",2225.189141,"1,930",1651.775016
24073,Terrebonne,Quebec,"113,797",0,0,20,17.57515576,20,0,5,4.39378894,145,127.4198793,10,8.78757788,20,17.57515576,"2,535",2227.650993,"1,605",1410.40625
24074,Thérèse-De Blainville,Quebec,"112,160",0,0,35,31.20542083,35,0,5,4.457917261,335,298.6804565,60,53.49500713,35,31.20542083,"1,935",1725.21398,"2,205",1965.941512
24075,Trois-Rivières,Quebec,"114,064",0,0,50,43.83503998,50,0,0,0,155,135.8886239,0,0,20,17.53401599,"1,410",1236.148127,"1,070",938.0698555
24076,Vaudreuil,Quebec,"120,653",60,49.72938924,615,509.7262397,675,0.097560976,10,8.28823154,750,621.6173655,"1,960",1624.493382,145,120.1793573,"2,295",1902.149138,"2,010",1665.93454
24077,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Quebec,"114,364",10,8.744010353,200,174.8802071,210,0.05,15,13.11601553,"7,415",6483.683677,665,581.4766885,"1,175",1027.421216,"5,065",4428.841244,"6,750",5902.206988
24078,Vimy,Quebec,"108,773",25,22.98364484,165,151.6920559,190,0.151515152,10,9.193457935,680,625.1551396,670,615.9616817,415,381.5285043,"4,605",4233.587379,"13,295",12222.70233
35001,Ajax,Ontario,"126,666",145,114.4742867,2840,2242.117064,2985,0.051056338,85,67.10561635,"1,275",1006.584245,"1,220",963.162964,"1,000",789.4778394,"1,305",1030.26858,"1,540",1215.795873
35002,Algonquin—Renfrew—Pembroke,Ontario,"107,420",10,9.309253398,115,107.0564141,125,0.086956522,5,4.654626699,150,139.638801,90,83.78328058,105,97.74716068,280,260.6590951,135,125.6749209
35003,Aurora—Oak Ridges—Richmond Hill,Ontario,"117,750",70,59.44798301,725,615.7112527,795,0.096551724,20,16.985138,"13,360",11346.07219,210,178.343949,"8,065",6849.2569,"1,350",1146.496815,"1,470",1248.407643
35004,Barrie South—Innisfil,Ontario,"120,378",55,45.68941169,635,527.5050258,690,0.086614173,30,24.92149728,820,681.1875924,465,386.2832079,265,220.1398927,"2,400",1993.719783,415,344.7473791
35005,Barrie—Springwater—Oro-Medonte,Ontario,"115,495",50,43.2919174,405,350.6645309,455,0.12345679,15,12.98757522,585,506.5154336,695,601.7576518,205,177.4968613,"1,110",961.0805663,310,268.4098879
35006,Bay of Quinte,Ontario,"110,164",15,13.61606332,255,231.4730765,270,0.058823529,20,18.1547511,255,231.4730765,310,281.398642,170,154.3153843,465,422.097963,185,167.9314477
35007,Beaches—East York,Ontario,"109,359",105,96.01404548,1565,1431.066487,1670,0.067092652,30,27.43258442,950,868.6985068,310,283.470039,"2,380",2176.318364,"1,695",1549.94102,680,621.8052469
35008,Bowmanville—Oshawa North,Ontario,"128,534",40,31.12017054,820,637.963496,860,0.048780488,30,23.3401279,"1,020",793.5643487,595,462.9125368,585,455.1324941,975,758.5541569,730,567.9431123
35009,Brampton Centre,Ontario,"109,450",135,123.3439927,2265,2069.4381,2400,0.059602649,65,59.38784833,400,365.463682,"10,170",9291.914116,430,392.8734582,"2,660",2430.333486,750,685.2444038
35010,Brampton—Chinguacousy Park,Ontario,"115,568",155,134.1201717,"2,670",2310.328119,"2,825",0.058052434,100,86.52914302,405,350.4430292,"18,065",15631.48969,540,467.2573723,"3,250",2812.197148,840,726.8448013
35011,Brampton East,Ontario,"119,214",75,62.91207409,610,511.6848692,685,0.12295082,10,8.388276545,235,197.1244988,"41,320",34660.35868,330,276.813126,980,822.0511014,590,494.9083161
35012,Brampton North—Caledon,Ontario,"106,762",75,70.24971432,"1,115",1044.379086,"1,190",0.067264574,35,32.78320001,490,458.9648002,"24,970",23388.47155,500,468.3314288,"1,430",1339.427886,515,482.3813716
35013,Brampton South,Ontario,"113,252",90,79.46879525,1520,1342.139653,1610,0.059210526,60,52.97919684,635,560.6964998,"29,390",25950.97658,665,587.1860983,870,768.1983541,820,724.0490234
35014,Brampton West,Ontario,"114,260",85,74.39173814,1850,1619.114301,1935,0.045945946,40,35.00787677,235,205.671276,"22,925",20063.88938,380,332.5748293,"1,170",1023.980396,720,630.1417819
35015,Brantford—Brant South—Six Nations,Ontario,"121,511",45,37.03368419,565,464.9784793,610,0.079646018,20,16.4594152,320,263.3506432,"2,255",1855.799063,180,148.1347368,850,699.5251459,470,386.7962571
35016,Bruce—Grey—Owen Sound,Ontario,"113,348",10,8.822387691,100,88.22387691,110,0.1,5,4.411193846,75,66.16790768,170,149.9805907,75,66.16790768,285,251.4380492,140,123.5134277
35017,Burlington,Ontario,"125,435",60,47.83353928,830,661.6972934,890,0.072289157,45,35.87515446,915,729.4614741,630,502.2521625,405,322.8763902,"2,035",1622.354207,"1,540",1227.727508
35018,Burlington North—Milton West,Ontario,"125,575",45,35.83515827,"1,380",1098.944854,"1,425",0.032608696,30,23.89010551,"1,930",1536.930121,"2,385",1899.263388,690,549.4724268,"2,520",2006.768863,"4,280",3408.32172
35019,Cambridge,Ontario,"119,493",50,41.84345527,620,518.8588453,670,0.080645161,40,33.47476421,340,284.5354958,"2,490",2083.804072,265,221.7703129,"1,395",1167.432402,"1,070",895.4499427
35020,Carleton,Ontario,"124,416",15,12.05632716,295,237.1077675,310,0.050847458,25,20.0938786,"2,280",1832.561728,645,518.4220679,615,494.3094136,"1,085",872.0743313,"2,420",1945.087449
35021,Chatham-Kent—Leamington,Ontario,"134,226",30,22.35036431,805,599.7347757,835,0.037267081,15,11.17518216,190,141.5523073,240,178.8029145,110,81.95133581,"1,855",1381.997527,"1,115",830.6885402
35022,Davenport,Ontario,"125,048",260,207.9201587,1955,1563.399655,2215,0.132992327,75,59.97696884,"1,330",1063.591581,345,275.8940567,"2,750",2199.155524,"6,430",5142.025462,620,495.8096091
35023,Don Valley North,Ontario,"111,122",260,233.9770702,2710,2438.761001,2970,0.095940959,95,85.49162182,"14,325",12891.23666,380,341.9664873,"9,190",8270.189521,"2,280",2051.798924,"2,170",1952.808625
35024,Don Valley West,Ontario,"120,579",300,248.7995422,3710,3076.821005,4010,0.080862534,85,70.49320363,"3,970",3292.447275,525,435.3991989,"2,715",2251.635857,"2,125",1762.330091,"2,600",2156.262699
35025,Dufferin—Caledon,Ontario,"120,812",40,33.10929378,450,372.479555,490,0.088888889,15,12.41598517,195,161.4078072,"3,640",3012.945734,110,91.05055789,"1,350",1117.438665,290,240.0423799
35026,Eglinton—Lawrence,Ontario,"115,832",940,811.5201326,6135,5296.463844,7075,0.153219234,255,220.146419,"1,880",1623.040265,145,125.1812971,"1,485",1282.029146,"3,830",3306.512881,450,388.4936805
35027,Elgin—St. Thomas—London South,Ontario,"112,448",10,8.892999431,260,231.2179852,270,0.038461538,10,8.892999431,140,124.501992,605,538.0264656,145,128.9484917,775,689.2074559,"1,045",929.3184405
35028,Essex,Ontario,"131,691",10,7.593533347,295,224.0092337,305,0.033898305,5,3.796766674,735,558.124701,"1,035",785.9307014,255,193.6351003,905,687.2147679,"1,425",1082.078502
35029,Etobicoke Centre,Ontario,"125,606",130,103.4982405,"1,975",1572.377116,"2,105",0.065822785,75,59.71052338,"1,620",1289.747305,565,449.8192761,"1,155",919.5420601,"3,910",3112.908619,"1,255",999.1560913
35030,Etobicoke—Lakeshore,Ontario,"120,956",85,70.27348788,1705,1409.603492,1790,0.049853372,40,33.06987665,"1,445",1194.649294,445,367.9023777,"1,135",938.3577499,"3,425",2831.608188,"1,090",901.1541387
35031,Etobicoke North,Ontario,"116,886",325,278.048697,2760,2361.275089,3085,0.117753623,105,89.8311175,435,372.1574868,"8,105",6934.106736,585,500.4876546,"4,750",4063.788649,"1,890",1616.960115
35032,Flamborough—Glanbrook—Brant North,Ontario,"103,836",5,4.815285643,305,293.7324242,310,0.016393443,5,4.815285643,410,394.8534227,920,886.0125583,145,139.6432836,880,847.4902731,755,727.1081321
